Destination Type,Trip Purpose,Budget Range,Travel Season,Travel Duration,Accommodation Preference,Interest,Food Interests,Travel Type / Group,Country_Info
Other,Adventure,Budget-Friendly,Spring,3-days,Hostel,Nature,Vegetarian,Friends Group,Egypt - Pyramids of Giza
City,Adventure,Mid-Range,Summer,Long(+month),Apartment,Relaxation,Vegetarian,Solo Traveler,USA - Grand Canyon
Historical Sites,Family Vacation,Luxury,Summer,Weekend,Hotel,Relaxation,Non-Vegetarian,Business Group,Indonesia - Bali Temples
Island,Family Vacation,Luxury,Winter,3-days,Hotel,Nature,Vegan,Couples,Germany - Neuschwanstein Castle
Beach,Honeymoon,Mid-Range,Summer,3-days,Resort,Nature,Non-Vegetarian,Solo Traveler,Germany - Neuschwanstein Castle
Beach,Family Vacation,Luxury,Spring,Weekend,Camping,Adventure,Vegetarian,Business Group,Italy - Venetian Canals in Venice
Island,Other,Luxury,Autumn,3-days,Apartment,Adventure,Vegetarian,Friends Group,Canada - Niagara Falls
Countryside,Spiritual Retreat,Budget-Friendly,Spring,A Month,Hotel,Adventure,Vegan,Couples,Canada - Niagara Falls
Beach,Spiritual Retreat,Luxury,Spring,A Month,Apartment,Culture,Non-Vegetarian,Business Group,Italy - Venetian Canals in Venice
Historical Sites,Family Vacation,Mid-Range,Summer,Weekend,Apartment,Nature,Vegan,Couples,France - Eiffel Tower in Paris
Beach,Family Vacation,Budget-Friendly,Autumn,Long(+month),Apartment,Nature,Vegetarian,Couples,Japan - Cherry Blossoms in Kyoto
Other,Honeymoon,Mid-Range,Summer,3-days,Hotel,Nature,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Spiritual Retreat,Luxury,Spring,Weekend,Camping,Nature,Non-Vegetarian,Solo Traveler,Italy - Venetian Canals in Venice
Other,Family Vacation,Budget-Friendly,Summer,Long(+month),Hotel,Culture,Vegetarian,Family with Kids,Australia - Great Barrier Reef
Beach,Spiritual Retreat,Budget-Friendly,Winter,3-days,Apartment,Culture,Vegan,Family with Kids,Spain - La Sagrada Familia in Barcelona
Mountains,Other,Budget-Friendly,Winter,3-days,Camping,Relaxation,Vegetarian,Solo Traveler,Greece - Santorini Sunset
Island,Honeymoon,Luxury,Winter,3-days,Apartment,Relaxation,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
City,Family Vacation,Budget-Friendly,Summer,Weekend,Hotel,Relaxation,Non-Vegetarian,Couples,South Africa - Safari in Kruger National Park
Historical Sites,Other,Budget-Friendly,Spring,3-days,Camping,Adventure,Vegan,Friends Group,Brazil - Carnival in Rio de Janeiro
Other,Honeymoon,Mid-Range,Spring,Long(+month),Apartment,Nature,Vegetarian,Couples,Switzerland - Swiss Alps
Beach,Honeymoon,Mid-Range,Autumn,Weekend,Apartment,Adventure,Vegetarian,Solo Traveler,Canada - Niagara Falls
Island,Other,Mid-Range,Summer,Long(+month),Hotel,Adventure,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Mountains,Family Vacation,Budget-Friendly,Winter,Long(+month),Resort,Relaxation,Vegetarian,Family with Kids,Switzerland - Swiss Alps
City,Adventure,Luxury,Spring,Weekend,Resort,Relaxation,Non-Vegetarian,Solo Traveler,South Africa - Safari in Kruger National Park
Beach,Adventure,Mid-Range,Summer,3-days,Camping,Adventure,Vegetarian,Family with Kids,USA - Grand Canyon
Historical Sites,Honeymoon,Luxury,Winter,A Month,Hotel,Adventure,Vegan,Solo Traveler,India - Taj Mahal
Island,Spiritual Retreat,Luxury,Winter,Weekend,Hostel,Adventure,Vegan,Family with Kids,UAE - Burj Khalifa in Dubai
Mountains,Other,Budget-Friendly,Autumn,Weekend,Hostel,Nature,Vegan,Friends Group,Japan - Cherry Blossoms in Kyoto
Mountains,Adventure,Mid-Range,Spring,3-days,Resort,Culture,Vegetarian,Couples,Greece - Santorini Sunset
City,Adventure,Budget-Friendly,Summer,Long(+month),Resort,Nature,Vegetarian,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Mountains,Spiritual Retreat,Budget-Friendly,Spring,Weekend,Apartment,Culture,Vegetarian,Business Group,South Africa - Safari in Kruger National Park
Mountains,Family Vacation,Budget-Friendly,Autumn,Long(+month),Resort,Culture,Non-Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
City,Family Vacation,Mid-Range,Winter,Long(+month),Apartment,Nature,Non-Vegetarian,Friends Group,France - Eiffel Tower in Paris
Island,Family Vacation,Mid-Range,Autumn,Long(+month),Hotel,Adventure,Non-Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Historical Sites,Honeymoon,Luxury,Summer,A Month,Camping,Culture,Vegan,Family with Kids,Canada - Niagara Falls
Countryside,Spiritual Retreat,Budget-Friendly,Spring,Weekend,Resort,Nature,Vegan,Couples,Egypt - Pyramids of Giza
Other,Adventure,Luxury,Winter,3-days,Hostel,Adventure,Non-Vegetarian,Couples,South Africa - Safari in Kruger National Park
Beach,Other,Budget-Friendly,Spring,Weekend,Apartment,Adventure,Vegan,Family with Kids,Switzerland - Swiss Alps
City,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Resort,Relaxation,Non-Vegetarian,Friends Group,Turkey - Cappadocia Hot Air Balloons
City,Family Vacation,Mid-Range,Spring,A Month,Hostel,Relaxation,Non-Vegetarian,Business Group,India - Taj Mahal
Mountains,Adventure,Budget-Friendly,Winter,3-days,Hotel,Culture,Vegetarian,Couples,France - Eiffel Tower in Paris
Beach,Honeymoon,Luxury,Spring,Weekend,Apartment,Relaxation,Vegetarian,Business Group,Indonesia - Bali Temples
Historical Sites,Honeymoon,Luxury,Summer,Weekend,Hotel,Adventure,Vegetarian,Solo Traveler,USA - Grand Canyon
City,Honeymoon,Mid-Range,Winter,A Month,Resort,Adventure,Vegetarian,Solo Traveler,Switzerland - Swiss Alps
City,Other,Budget-Friendly,Summer,3-days,Hotel,Relaxation,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Mountains,Honeymoon,Budget-Friendly,Spring,Long(+month),Hotel,Adventure,Non-Vegetarian,Solo Traveler,India - Taj Mahal
Island,Adventure,Mid-Range,Winter,Weekend,Hotel,Relaxation,Vegan,Family with Kids,Japan - Cherry Blossoms in Kyoto
Countryside,Family Vacation,Luxury,Autumn,Weekend,Camping,Culture,Vegetarian,Business Group,Italy - Venetian Canals in Venice
Island,Spiritual Retreat,Budget-Friendly,Spring,3-days,Hostel,Adventure,Vegan,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Mountains,Honeymoon,Mid-Range,Autumn,Long(+month),Hotel,Relaxation,Vegan,Solo Traveler,USA - Grand Canyon
Mountains,Family Vacation,Luxury,Spring,A Month,Hostel,Adventure,Vegan,Couples,Canada - Niagara Falls
Beach,Other,Mid-Range,Spring,A Month,Camping,Nature,Non-Vegetarian,Family with Kids,Spain - La Sagrada Familia in Barcelona
Historical Sites,Family Vacation,Budget-Friendly,Spring,3-days,Hostel,Relaxation,Vegan,Family with Kids,Mexico - Chichen Itza
City,Other,Luxury,Winter,Long(+month),Apartment,Relaxation,Vegan,Business Group,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Other,Mid-Range,Spring,Weekend,Hostel,Adventure,Non-Vegetarian,Business Group,Japan - Cherry Blossoms in Kyoto
Other,Other,Luxury,Winter,Long(+month),Apartment,Relaxation,Vegetarian,Solo Traveler,Italy - Venetian Canals in Venice
Beach,Honeymoon,Mid-Range,Summer,A Month,Hotel,Nature,Non-Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Mountains,Family Vacation,Luxury,Winter,Weekend,Camping,Culture,Vegan,Business Group,Canada - Niagara Falls
Countryside,Adventure,Mid-Range,Spring,3-days,Resort,Adventure,Vegan,Business Group,USA - Grand Canyon
Island,Honeymoon,Budget-Friendly,Spring,Long(+month),Camping,Nature,Vegetarian,Business Group,Canada - Niagara Falls
Mountains,Family Vacation,Luxury,Winter,A Month,Resort,Culture,Vegan,Solo Traveler,Switzerland - Swiss Alps
Island,Other,Budget-Friendly,Autumn,Weekend,Hostel,Adventure,Vegetarian,Business Group,Indonesia - Bali Temples
Countryside,Family Vacation,Mid-Range,Autumn,Long(+month),Resort,Culture,Non-Vegetarian,Friends Group,Brazil - Carnival in Rio de Janeiro
Historical Sites,Family Vacation,Budget-Friendly,Summer,Long(+month),Camping,Culture,Non-Vegetarian,Friends Group,France - Eiffel Tower in Paris
Other,Family Vacation,Mid-Range,Winter,Weekend,Camping,Culture,Vegan,Solo Traveler,Germany - Neuschwanstein Castle
City,Spiritual Retreat,Mid-Range,Spring,A Month,Apartment,Nature,Vegan,Family with Kids,Italy - Venetian Canals in Venice
Island,Honeymoon,Budget-Friendly,Spring,Long(+month),Resort,Nature,Vegan,Friends Group,Brazil - Carnival in Rio de Janeiro
Beach,Adventure,Luxury,Winter,3-days,Resort,Culture,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
Other,Other,Mid-Range,Autumn,Long(+month),Hostel,Culture,Non-Vegetarian,Solo Traveler,Thailand - Beaches in Phuket
Other,Family Vacation,Mid-Range,Autumn,Long(+month),Apartment,Culture,Vegan,Friends Group,Japan - Cherry Blossoms in Kyoto
Historical Sites,Other,Luxury,Spring,A Month,Resort,Culture,Non-Vegetarian,Solo Traveler,New Zealand - Milford Sound
Beach,Family Vacation,Budget-Friendly,Spring,A Month,Apartment,Relaxation,Vegan,Friends Group,France - Eiffel Tower in Paris
Beach,Other,Mid-Range,Winter,A Month,Hostel,Relaxation,Vegetarian,Friends Group,India - Taj Mahal
Island,Other,Mid-Range,Autumn,Weekend,Hotel,Adventure,Vegetarian,Couples,Switzerland - Swiss Alps
City,Adventure,Luxury,Summer,Weekend,Resort,Adventure,Vegan,Family with Kids,Egypt - Pyramids of Giza
Countryside,Adventure,Budget-Friendly,Spring,Long(+month),Camping,Nature,Non-Vegetarian,Solo Traveler,Mexico - Chichen Itza
Other,Family Vacation,Budget-Friendly,Spring,A Month,Resort,Relaxation,Vegetarian,Family with Kids,New Zealand - Milford Sound
City,Spiritual Retreat,Budget-Friendly,Spring,Long(+month),Apartment,Culture,Vegetarian,Friends Group,Switzerland - Swiss Alps
City,Honeymoon,Budget-Friendly,Winter,Long(+month),Camping,Relaxation,Vegan,Couples,Thailand - Beaches in Phuket
Countryside,Spiritual Retreat,Budget-Friendly,Autumn,A Month,Hotel,Culture,Vegan,Solo Traveler,Thailand - Beaches in Phuket
Countryside,Other,Mid-Range,Winter,Long(+month),Hostel,Culture,Vegan,Friends Group,Greece - Santorini Sunset
Island,Spiritual Retreat,Mid-Range,Winter,3-days,Resort,Adventure,Vegan,Friends Group,Switzerland - Swiss Alps
Countryside,Spiritual Retreat,Budget-Friendly,Winter,A Month,Hotel,Adventure,Vegetarian,Family with Kids,Switzerland - Swiss Alps
Other,Other,Mid-Range,Winter,3-days,Resort,Culture,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Honeymoon,Luxury,Summer,Weekend,Camping,Adventure,Vegan,Family with Kids,Indonesia - Bali Temples
Countryside,Spiritual Retreat,Mid-Range,Winter,A Month,Hotel,Relaxation,Vegan,Family with Kids,Egypt - Pyramids of Giza
Island,Adventure,Mid-Range,Autumn,Long(+month),Hostel,Relaxation,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Other,Spiritual Retreat,Luxury,Summer,3-days,Resort,Nature,Vegetarian,Family with Kids,New Zealand - Milford Sound
Other,Family Vacation,Luxury,Winter,A Month,Camping,Adventure,Vegan,Business Group,India - Taj Mahal
Historical Sites,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Hotel,Adventure,Vegan,Family with Kids,Japan - Cherry Blossoms in Kyoto
City,Spiritual Retreat,Luxury,Spring,Long(+month),Hotel,Nature,Vegetarian,Family with Kids,UAE - Burj Khalifa in Dubai
Countryside,Honeymoon,Mid-Range,Spring,Weekend,Hotel,Nature,Vegan,Business Group,Turkey - Cappadocia Hot Air Balloons
Countryside,Family Vacation,Luxury,Autumn,Long(+month),Camping,Relaxation,Vegetarian,Business Group,USA - Grand Canyon
Beach,Adventure,Budget-Friendly,Summer,Long(+month),Camping,Relaxation,Non-Vegetarian,Friends Group,USA - Grand Canyon
Historical Sites,Spiritual Retreat,Budget-Friendly,Summer,Long(+month),Apartment,Adventure,Vegan,Family with Kids,New Zealand - Milford Sound
Other,Adventure,Luxury,Winter,3-days,Hostel,Nature,Non-Vegetarian,Friends Group,South Africa - Safari in Kruger National Park
City,Adventure,Budget-Friendly,Winter,3-days,Hotel,Nature,Vegetarian,Solo Traveler,Switzerland - Swiss Alps
Historical Sites,Spiritual Retreat,Luxury,Summer,3-days,Resort,Relaxation,Vegetarian,Friends Group,Indonesia - Bali Temples
Beach,Other,Luxury,Winter,Long(+month),Hotel,Nature,Vegetarian,Solo Traveler,Indonesia - Bali Temples
Historical Sites,Family Vacation,Budget-Friendly,Autumn,3-days,Resort,Relaxation,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Mountains,Honeymoon,Luxury,Autumn,Weekend,Resort,Relaxation,Non-Vegetarian,Friends Group,Australia - Great Barrier Reef
Island,Adventure,Budget-Friendly,Summer,A Month,Hostel,Adventure,Vegetarian,Business Group,India - Taj Mahal
Island,Honeymoon,Luxury,Summer,Long(+month),Camping,Culture,Vegetarian,Family with Kids,France - Eiffel Tower in Paris
Countryside,Other,Luxury,Winter,3-days,Apartment,Adventure,Vegetarian,Solo Traveler,Italy - Venetian Canals in Venice
Countryside,Spiritual Retreat,Luxury,Spring,Long(+month),Hostel,Nature,Non-Vegetarian,Family with Kids,USA - Grand Canyon
Historical Sites,Adventure,Budget-Friendly,Winter,A Month,Resort,Culture,Non-Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
City,Honeymoon,Luxury,Summer,Long(+month),Hotel,Adventure,Non-Vegetarian,Friends Group,France - Eiffel Tower in Paris
Mountains,Honeymoon,Budget-Friendly,Spring,3-days,Apartment,Culture,Vegan,Solo Traveler,South Africa - Safari in Kruger National Park
Island,Other,Budget-Friendly,Summer,A Month,Camping,Nature,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
City,Spiritual Retreat,Budget-Friendly,Summer,3-days,Hotel,Nature,Vegetarian,Couples,New Zealand - Milford Sound
Island,Spiritual Retreat,Luxury,Spring,Long(+month),Camping,Relaxation,Vegetarian,Friends Group,Indonesia - Bali Temples
Beach,Family Vacation,Budget-Friendly,Spring,3-days,Hotel,Adventure,Vegan,Couples,France - Eiffel Tower in Paris
Beach,Adventure,Budget-Friendly,Autumn,Long(+month),Resort,Culture,Non-Vegetarian,Couples,Australia - Great Barrier Reef
Historical Sites,Family Vacation,Mid-Range,Spring,Weekend,Hostel,Nature,Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Beach,Adventure,Budget-Friendly,Spring,A Month,Apartment,Relaxation,Non-Vegetarian,Solo Traveler,Egypt - Pyramids of Giza
Island,Other,Budget-Friendly,Winter,Long(+month),Hostel,Nature,Vegan,Family with Kids,India - Taj Mahal
Island,Other,Luxury,Summer,3-days,Camping,Relaxation,Vegetarian,Friends Group,India - Taj Mahal
Mountains,Other,Luxury,Winter,Weekend,Hostel,Relaxation,Vegetarian,Family with Kids,Mexico - Chichen Itza
Island,Spiritual Retreat,Budget-Friendly,Summer,3-days,Hotel,Nature,Non-Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Beach,Spiritual Retreat,Mid-Range,Summer,Long(+month),Hotel,Nature,Vegan,Friends Group,Italy - Venetian Canals in Venice
Other,Honeymoon,Luxury,Winter,A Month,Hostel,Relaxation,Vegetarian,Business Group,India - Taj Mahal
City,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Camping,Culture,Vegan,Couples,Japan - Cherry Blossoms in Kyoto
Countryside,Honeymoon,Budget-Friendly,Winter,3-days,Hotel,Culture,Vegetarian,Couples,South Africa - Safari in Kruger National Park
Beach,Adventure,Budget-Friendly,Spring,3-days,Hotel,Nature,Vegetarian,Family with Kids,Germany - Neuschwanstein Castle
Historical Sites,Honeymoon,Mid-Range,Autumn,Weekend,Hotel,Nature,Non-Vegetarian,Business Group,Japan - Cherry Blossoms in Kyoto
Island,Honeymoon,Luxury,Autumn,A Month,Hostel,Culture,Vegan,Friends Group,Egypt - Pyramids of Giza
Beach,Honeymoon,Budget-Friendly,Summer,Long(+month),Resort,Relaxation,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Other,Honeymoon,Luxury,Summer,A Month,Hostel,Relaxation,Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Honeymoon,Mid-Range,Autumn,Long(+month),Hostel,Adventure,Vegan,Business Group,Indonesia - Bali Temples
Beach,Adventure,Luxury,Winter,3-days,Hotel,Relaxation,Non-Vegetarian,Business Group,Japan - Cherry Blossoms in Kyoto
Mountains,Spiritual Retreat,Luxury,Winter,3-days,Hotel,Relaxation,Vegan,Business Group,Spain - La Sagrada Familia in Barcelona
Island,Adventure,Budget-Friendly,Spring,3-days,Apartment,Adventure,Non-Vegetarian,Friends Group,Mexico - Chichen Itza
Historical Sites,Other,Budget-Friendly,Winter,A Month,Resort,Nature,Vegetarian,Solo Traveler,Germany - Neuschwanstein Castle
Island,Other,Budget-Friendly,Spring,Long(+month),Resort,Relaxation,Vegetarian,Family with Kids,Australia - Great Barrier Reef
Countryside,Family Vacation,Mid-Range,Spring,Weekend,Camping,Nature,Vegetarian,Friends Group,South Africa - Safari in Kruger National Park
City,Honeymoon,Mid-Range,Spring,Weekend,Camping,Nature,Vegetarian,Friends Group,Canada - Niagara Falls
City,Honeymoon,Mid-Range,Autumn,Weekend,Camping,Relaxation,Non-Vegetarian,Family with Kids,France - Eiffel Tower in Paris
Other,Adventure,Mid-Range,Summer,3-days,Hostel,Relaxation,Vegetarian,Business Group,Spain - La Sagrada Familia in Barcelona
City,Spiritual Retreat,Mid-Range,Spring,3-days,Resort,Relaxation,Vegan,Family with Kids,Switzerland - Swiss Alps
Countryside,Honeymoon,Budget-Friendly,Autumn,Weekend,Resort,Nature,Vegan,Business Group,Turkey - Cappadocia Hot Air Balloons
City,Family Vacation,Luxury,Spring,3-days,Hotel,Culture,Non-Vegetarian,Business Group,India - Taj Mahal
Beach,Honeymoon,Budget-Friendly,Autumn,A Month,Resort,Adventure,Vegan,Family with Kids,Indonesia - Bali Temples
Beach,Honeymoon,Mid-Range,Spring,Long(+month),Hostel,Culture,Vegan,Business Group,UAE - Burj Khalifa in Dubai
Other,Adventure,Budget-Friendly,Spring,3-days,Hostel,Nature,Vegetarian,Business Group,Mexico - Chichen Itza
Mountains,Honeymoon,Budget-Friendly,Spring,Weekend,Hotel,Culture,Vegan,Business Group,France - Eiffel Tower in Paris
City,Spiritual Retreat,Luxury,Spring,Weekend,Hostel,Adventure,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Other,Family Vacation,Mid-Range,Winter,Long(+month),Apartment,Culture,Non-Vegetarian,Couples,Indonesia - Bali Temples
Beach,Spiritual Retreat,Budget-Friendly,Summer,3-days,Camping,Culture,Vegan,Business Group,Indonesia - Bali Temples
Island,Adventure,Budget-Friendly,Winter,3-days,Apartment,Nature,Vegetarian,Business Group,Australia - Great Barrier Reef
City,Honeymoon,Mid-Range,Autumn,A Month,Hotel,Culture,Vegan,Couples,Brazil - Carnival in Rio de Janeiro
Mountains,Family Vacation,Budget-Friendly,Spring,3-days,Hostel,Relaxation,Vegan,Couples,Thailand - Beaches in Phuket
Beach,Adventure,Mid-Range,Summer,Weekend,Camping,Nature,Vegetarian,Business Group,France - Eiffel Tower in Paris
City,Honeymoon,Mid-Range,Summer,Long(+month),Hostel,Nature,Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Island,Family Vacation,Mid-Range,Autumn,A Month,Apartment,Adventure,Non-Vegetarian,Couples,Italy - Venetian Canals in Venice
Beach,Other,Luxury,Summer,Long(+month),Hotel,Culture,Non-Vegetarian,Couples,France - Eiffel Tower in Paris
Other,Spiritual Retreat,Budget-Friendly,Summer,Long(+month),Hotel,Adventure,Vegetarian,Solo Traveler,Canada - Niagara Falls
City,Family Vacation,Mid-Range,Spring,A Month,Hostel,Culture,Non-Vegetarian,Couples,South Africa - Safari in Kruger National Park
Island,Honeymoon,Luxury,Summer,A Month,Hostel,Adventure,Non-Vegetarian,Solo Traveler,USA - Grand Canyon
Beach,Honeymoon,Budget-Friendly,Summer,Long(+month),Hotel,Relaxation,Vegetarian,Family with Kids,Egypt - Pyramids of Giza
City,Honeymoon,Mid-Range,Winter,Weekend,Hotel,Relaxation,Vegetarian,Couples,Germany - Neuschwanstein Castle
Mountains,Honeymoon,Budget-Friendly,Summer,3-days,Resort,Culture,Vegan,Couples,Spain - La Sagrada Familia in Barcelona
Beach,Adventure,Luxury,Summer,Weekend,Hotel,Adventure,Non-Vegetarian,Solo Traveler,India - Taj Mahal
Historical Sites,Honeymoon,Mid-Range,Spring,3-days,Hostel,Adventure,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Mountains,Honeymoon,Luxury,Winter,A Month,Hostel,Adventure,Non-Vegetarian,Couples,Indonesia - Bali Temples
Historical Sites,Other,Luxury,Summer,A Month,Hostel,Relaxation,Vegan,Friends Group,France - Eiffel Tower in Paris
